id,url_id,user_id,created_at,type,is_mention
1242258462903611392,33596639,2557458888,2020-03-24T01:14:32.000Z,retweet,False
1242258701961949184,33596639,521315556,2020-03-24T01:15:29.000Z,retweet,False
1242258696169754624,33596639,45192612,2020-03-24T01:15:27.000Z,retweet,False
1242258695381233664,33596639,801436109381242880,2020-03-24T01:15:27.000Z,quote,False
1242258687470624768,None,None,2020-03-24T01:15:25.000Z,None,None
1242258684484268033,33596639,850157935267266560,2020-03-24T01:15:25.000Z,retweet,False
1242258655103184896,33596639,1048671314527965184,2020-03-24T01:15:18.000Z,retweet,False
1242258632936501249,33596639,30524827,2020-03-24T01:15:12.000Z,retweet,False
1242258461733335042,None,None,2020-03-24T01:14:31.000Z,None,None
1242258628809068544,33596639,776985486652956674,2020-03-24T01:15:11.000Z,retweet,False
1242258606059335682,33596639,1028293577863036929,2020-03-24T01:15:06.000Z,retweet,False
1242258581656875008,33596639,34993057,2020-03-24T01:15:00.000Z,retweet,False
1242258573763231746,33596639,34708398,2020-03-24T01:14:58.000Z,retweet,False
1242258548316307457,33596639,1010046656,2020-03-24T01:14:52.000Z,retweet,False
1242258518247268353,33596639,2565747746,2020-03-24T01:14:45.000Z,retweet,False
1242258489566793729,33596639,607371255,2020-03-24T01:14:38.000Z,retweet,False
1242258463813701640,33596639,1064960231518670848,2020-03-24T01:14:32.000Z,retweet,False
1242258622727536640,33596639,963972460327718912,2020-03-24T01:15:10.000Z,retweet,False
1242263457606651909,None,None,2020-03-24T01:34:23.000Z,None,None
1242263500719828992,33596639,726619764,2020-03-24T01:34:33.000Z,retweet,False
1242263501453668352,None,None,2020-03-24T01:34:33.000Z,None,None
1242271025682960384,33596639,1226279931048538113,2020-03-24T02:04:27.000Z,retweet,False
1242271004866404352,33596639,61050399,2020-03-24T02:04:22.000Z,retweet,False
1242270967910617088,33596639,1205993648309067777,2020-03-24T02:04:13.000Z,retweet,False
1242270963271696384,33596639,33139373,2020-03-24T02:04:12.000Z,retweet,False
1242270942333677581,33596639,25073877,2020-03-24T02:04:07.000Z,quote,True
1242270942002393090,33596639,1059303730200350720,2020-03-24T02:04:07.000Z,retweet,False
1242270940081336320,33596639,762754596,2020-03-24T02:04:07.000Z,retweet,False
1242271044733472775,33596639,261749735,2020-03-24T02:04:32.000Z,retweet,False
1242270920858894336,33596639,3041722431,2020-03-24T02:04:02.000Z,retweet,False
1242270888264962048,None,None,2020-03-24T02:03:54.000Z,None,None
1242270869575139329,33596639,246558029,2020-03-24T02:03:50.000Z,retweet,False
1242270851350835201,None,None,2020-03-24T02:03:45.000Z,None,None
1242270848796459008,33596639,1042789090092109828,2020-03-24T02:03:45.000Z,retweet,False
1242270829347516416,None,None,2020-03-24T02:03:40.000Z,None,None
