,id,title,date_published,which_half,url,domain,num_tweets,score,site_type,num_peaks,active_days,lifespan,active_ratio
2418,1969552,Trump campaign official clashes with CNN host over president’s lies about mail-in voting,2020-08-08 14:09:17+00:00,2,https://www.rawstory.com/2020/08/trump-campaign-official-refuses-to-explain-what-president-will-do-to-help-states-count-votes/,rawstory.com,388,19.5617179871,claim,1,2,2,1.0
2419,1973326,Eric Trump tells supporters to ‘mail in your ballot’ amid president’s relentless attacks on mail-in voting,2020-08-10 17:04:43+00:00,2,https://www.rawstory.com/2020/08/eric-trump-tells-supporters-to-mail-in-your-ballot-amid-presidents-relentless-s-on-mail-in-voting/,rawstory.com,341,78.7261352539,claim,1,3,6,0.5
2421,1962634,Trump Campaign Files Lawsuit Challenging Nevada Vote-By-Mail Law as Unconstitutional,2020-08-05 15:24:44+00:00,2,https://www.breitbart.com/politics/2020/08/05/trump-campaign-files-lawsuit-challenging-nevada-vote-by-mail-law-as-unconstitutional/,breitbart.com,223,10.0009880066,claim,1,4,30,0.13333333333333333
2432,1974016,Did US Only Have 143 Absentee-Ballot Fraud Convictions Over 20 Years?,2020-08-10 21:50:59+00:00,2,https://www.snopes.com/fact-check/absentee-ballot-fraud-heritage/,snopes.com,116,91.32127380370001,fact_checking,0,37,98,0.37755102040816324
2440,1968003,Voting by Mail in the Swing States,2020-08-07 11:29:27+00:00,2,https://www.factcheck.org/2020/08/voting-by-mail-in-the-swing-states/?fbclid=IwAR11Yagv0CjqaB7C8Iv-VjLKZ2Cj5aRLXehlYrQKg8DwOGPYE4QRbfA1IKI,factcheck.org,68,9.5454969406,fact_checking,0,23,96,0.23958333333333334
2513,1987163,Peter Navarro: Dems Want USPS to Be 'Ballot-Harvesting Service',2020-08-16 19:36:20+00:00,2,https://www.breitbart.com/clips/2020/08/16/peter-navarro-dems-want-usps-to-be-ballot-harvesting-service/amp/,breitbart.com,5780,93.3660049438,claim,1,16,80,0.2
2514,1978500,Ohio Republican Secretary Of State Bans Drop Off Boxes For Ballots,2020-08-12 04:00:00+00:00,2,https://www.politicususa.com/2020/08/12/ohio-republican-secretary-of-state-bans-drop-off-boxes-for-ballots.html?fbclid=IwAR2UGSowIP9mDHkWnYncgoAgAvO1QvfQl1IPq0e8jrNHJky_Hc_byUMdmCk,politicususa.com,813,22.0282974243,claim,1,9,19,0.47368421052631576
2515,1990877,Louisiana Republican wants to force people to submit a positive COVID test to vote by mail,2020-08-18 14:32:43+00:00,2,https://www.rawstory.com/2020/08/louisiana-republican-wants-to-force-people-to-submit-a-positive-test-to-vote-by-mail/,rawstory.com,732,22.136295318600002,claim,1,4,4,1.0
2516,1988227,How to make sure your ballot is counted this fall,2020-08-17 04:00:00+00:00,2,https://www.politifact.com/article/2020/aug/17/how-make-sure-your-ballot-counted-fall/,politifact.com,600,98.93634033200001,fact_checking,4,20,78,0.2564102564102564
2517,1985179,Trump’s Mail Sabotage Blows Up In His Face From Sea To Shining Sea,2020-08-15 04:00:00+00:00,2,https://www.politicususa.com/2020/08/15/trump-mail-sabotage-local-news.html?fbclid=IwAR3vBlGfk67Sebzm1QwQDmi61wG3VVGES1eZJXeT6ho_dJEzSRFmhFXMIbQ,politicususa.com,573,9.96159935,claim,1,4,4,1.0
