,id,title,url,num_tweets
2645,1650299,Pelosi 'Stimulus' Bill Imposes Nationwide 'Ballot Harvesting' Without 'Any Limit',https://www.breitbart.com/2020-election/2020/03/23/pelosi-stimulus-bill-imposes-nationwide-ballot-harvesting-without-any-limit/amp/?__twitter_impression=true,5130
2646,1636283,Coronavirus: Hillary Clinton Calls to 'Make Voting by Mail the Norm' in 2020,https://www.breitbart.com/politics/2020/03/18/coronavirus-hillary-clinton-calls-to-make-voting-by-mail-the-norm/,1055
2647,1650338,Pelosi Coronavirus Plan: Nationwide Ballot Harvesting for 2020 Election,https://www.breitbart.com/politics/2020/03/23/pelosi-coronavirus-plan-nationwide-ballot-harvesting-for-2020-election/,452
2648,1645462,Gavin Newsom Allows Voting by Mail to Protect Californians from Virus,https://www.breitbart.com/health/2020/03/21/gavin-newsom-allows-voting-by-mail-to-protect-californians-from-coronavirus/amp/?__twitter_impression=true,417
2649,1629242,These 17 states must change their laws to let voters cast absentee mail ballots without an excuse,https://www.dailykos.com/stories/2020/3/16/1927986/-These-17-states-must-change-their-laws-to-let-voters-cast-absentee-mail-ballots-without-an-excuse,415
2650,1650672,Schiff: Early Voting and Voting by Mail 'Very Much Interrelated' with 'Economic Health',https://www.breitbart.com/clips/2020/03/23/schiff-early-voting-and-voting-by-mail-very-much-interrelated-with-economic-health/amp/?__twitter_impression=true,336
2651,1657715,Wicked Immoral Woman: Pelosi Tried to Ram Illegal Ballot Harvesting into Coronavirus Stimulus Bill,https://www.thegatewaypundit.com/2020/03/wicked-immoral-woman-pelosi-tried-to-ram-illegal-ballot-harvesting-into-coronavirus-stimulus-bill/,307
2652,1654692,Avenues to Voter Fraud Have No Place in Coronavirus Bill,https://www.dailysignal.com/2020/03/25/avenues-to-voter-fraud-have-no-place-in-coronavirus-bill/,286
2653,1639620,Tom Fitton Warns Dems Using Pandemic to Push Unsecure Vote-By-Mail ‘Free for All’,https://www.judicialwatch.org/in-the-news/tom-fitton-warns-dems-using-pandemic-to-push-unsecure-vote-by-mail-free-for-all/,198
2654,1651364,Morning Digest: Mitch McConnell-linked super PAC reserves $67 million in TV ads for key Senate races,https://www.dailykos.com/stories/2020/3/24/1930470/-Morning-Digest-Mitch-McConnell-linked-super-PAC-reserves-67-million-in-TV-ads-for-key-Senate-races,188
2655,1652056,Coronavirus: Adam Schiff Defends Pelosi's Changes to Voting Law in Emergency Relief Bill,https://www.breitbart.com/politics/2020/03/24/coronavirus-adam-schiff-defends-pelosis-changes-to-voting-law-in-emergency-relief-bill/,184
2656,1660517,Watch Live: House Debates $2 Trillion Coronavirus Economic Relief Bill,https://www.breitbart.com/politics/2020/03/27/watch-live-house-debates-2-trillion-coronavirus-economic-relief-bill/,161
2657,1651340,Trump Squashes Democrats’ Partisan Demands For Funding Not Related To Coronavirus,https://www.dailywire.com/news/trump-squashes-democrats-partisan-demands-for-funding-not-related-to-coronavirus/,133
2658,1636182,Coronavirus: Arizona Democrats Push for All-Mail Voting in 2020 Election,https://www.breitbart.com/2020-election/2020/03/18/coronavirus-arizona-official-asks-lawmakers-to-authorize-all-mail-elections/,130
2659,1660384,Morning Digest: GOP won't be on 2020's ballot after nearly three straight decades running San Diego,https://www.dailykos.com/stories/2020/3/27/1931596/-Morning-Digest-GOP-won-t-be-on-2020-s-ballot-after-nearly-three-straight-decades-running-San-Diego,128
2660,1646324,All eyes on November,https://www.palmerreport.com/analysis/all-eyes-on-november/26721/,100
2745,1694943,Eric Eggers: You Don't Have to Take Trump's Word to See Mail-In Vote Fraud,https://www.breitbart.com/politics/2020/04/09/eric-eggers-trump-mail-in-vote-fraud/?fbclid=IwAR0vZx9I3PAMAim7B_yIdiAPz7K2bPFWiu08Vh-pSHK2ZubWXgyjTvcH-Po,3221
2747,1686905,Marc Elias: U.S. Needs Vote-by-Mail Ballot Harvesting,https://www.breitbart.com/politics/2020/04/06/former-clinton-campaign-attorney-marc-elias-u-s-needs-vote-by-mail-ballot-harvesting-vote-anywhere-rules/,1377
2748,1704210,KKK-Blackface Governor Ralph Northam Repeals Virginia Voter ID Laws Expands Early Voting Programs,https://www.thegatewaypundit.com/2020/04/kkk-blackface-governor-ralph-northam-repeals-virginia-voter-laws-expands-early-voting-programs/,992
2749,1692772,The Coronavirus Is no Excuse for Opening the Door to Election Fraud,https://www.breitbart.com/politics/2020/04/08/kobach-the-coronavirus-is-no-excuse-for-opening-the-door-to-election-fraud/,741
2750,1694052,Pelosi Wants New Coronavirus Relief Package to Include Stipulations For Federally Forced Vote By Mail For 2020 Election ⋆ Conservative Firing Line,https://conservativefiringline.com/pelosi-wants-new-coronavirus-relief-package-to-include-stipulations-for-federally-forced-vote-by-mail-for-2020-election/,640
2751,1690935,Donald Trump is spiraling out of control,https://www.palmerreport.com/analysis/spiraling-out-of-control-donald-trump-is/27393/,432
2752,1680244,Nolte: Voting by Mail Is a Terrible Democrat Idea that Invites Fraud,https://www.breitbart.com/politics/2020/04/03/nolte-voting-by-mail-is-a-terrible-democrat-idea-that-invites-fraud/,386
2753,1703441,Dems Plan to Use COVID-19 to Steal 2020 Elections,https://www.newsmax.com/michaeldorstewitz/coronavirus-2020elections/2020/04/13/id/962564/,293
2754,1671936,House Democrats Pushing for Mail-In Voting as Part of Next Stimulus,https://www.breitbart.com/politics/2020/03/31/house-democrats-pushing-for-mail-in-voting-as-part-of-next-stimulus/,292
2755,1690785,Trump Flat Out Calls It A ‘Terrible Thing’ To Make It Easier To Vote,https://www.politicususa.com/2020/04/07/trump-flat-out-calls-it-a-terrible-thing-to-make-it-easier-to-vote.html,240
2756,1703496,Republicans know vote-by-mail is a good thing. They just only want it available to Republicans,https://www.dailykos.com/stories/2020/4/13/1936792/-Republicans-know-vote-by-mail-is-a-good-thing-They-just-only-want-it-available-to-Republicans,209
2757,1698392,Lawsuits on the Horizon as Democrats Gear Up to Push Universal Mail-In Voting,https://www.breitbart.com/politics/2020/04/10/lawsuits-on-the-horizon-as-democrats-gear-up-to-push-universal-mail-in-voting/,193
2758,1703678,Virginia Governor Replaces Day Honoring Confederate Generals With State Holiday on Election Day,https://www.politicususa.com/2020/04/13/virginia-governor-replaces-day-honoring-confederate-generals-with-state-holiday-on-election-day.html,158
2759,1677200,Sarah Silverman Joins Democrats Using Coronavirus to Push 'Vote at Home' Initiative,https://www.breitbart.com/entertainment/2020/04/02/sarah-silverman-joins-democrats-using-coronavirus-to-push-vote-at-home-initiative/amp/,141
2761,1688709,'One of the Most Brazen Acts of Voter Suppression in Modern Times' as US Supreme Court Blocks Absentee Ballot Extension in Wisconsin,https://www.commondreams.org/news/2020/04/07/one-most-brazen-acts-voter-suppression-modern-times-us-supreme-court-blocks-absentee,116
2762,1692360,Hillary Clinton Peddles Voting Reform: ‘We Need to Act Now’,https://www.breitbart.com/politics/2020/04/08/hillary-clinton-peddles-voting-reform-we-need-to-act-now/,104
2845,1733855,Cuomo Orders Absentee Ballot Applications Sent to Every New York Voter,https://www.breitbart.com/health/2020/04/25/andrew-cuomo-orders-postage-paid-absentee-ballot-applications-sent-every-new-york-voter/,2466
2846,1724881,15 Election Results That Were Tossed Over Fraudulent Mail-In Ballots,https://www.dailysignal.com/2020/04/21/15-election-results-that-were-thrown-out-because-of-fraudulent-mail-in-ballots/,1353
2847,1708211,True The Vote Ends Left’s Vote-by-Mail Scheme in New Mexico,https://www.breitbart.com/politics/2020/04/14/exclusive-stopped-cold-true-the-vote-ends-lefts-vote-by-mail-scheme-in-new-mexico-as-national-battle-intensifies/,1348
2848,1715218,Gorka: Greatest Coronavirus Threat Is Democrat Push for Mail-in-Voting,https://www.breitbart.com/radio/2020/04/17/sebastian-gorka-greatest-threat-coronavirus-democrat-push-mail-voting/,737
