id,title,date_published,url,domain,num_tweets,score,site_type
822046,Jerry Brown Blames California's Coming Insolvency on Prop 13,2018-01-16T13:48:50.000Z,http://www.breitbart.com/california/2018/01/16/gov-brown-blames-californias-coming-insolvency-on-prop-13/,breitbart.com,42,8.0960540771,claim
825735,Report: Tesla Ranked Dead Last in Driverless Vehicle Race,2018-01-19T18:21:25.000Z,http://www.breitbart.com/california/2018/01/19/report-tesla-ranked-dead-last-in-driverless-vehicle-race/amp/,breitbart.com,42,6.9493384361,claim
822046,Jerry Brown Blames California's Coming Insolvency on Prop 13,2018-01-16T13:48:50.000Z,http://www.breitbart.com/california/2018/01/16/gov-brown-blames-californias-coming-insolvency-on-prop-13/amp/,breitbart.com,42,8.0960540771,claim
818285,MoveOn Spox: Trump Wants to Put Up a 'Whites Only' Sign at the Statue of Liberty,2018-01-13T20:54:59.000Z,http://www.breitbart.com/video/2018/01/13/moveon-spox-trump-wants-put-whites-sign-statue-liberty/amp/?__twitter_impression=true,breitbart.com,37,7.1438589096,claim
825357,Ryan to Schumer: Don’t Shut Down The Government,2018-01-19T02:13:20.000Z,http://www.breitbart.com/video/2018/01/18/ryan-schumer-dont-shut-government/amp/?__twitter_impression=true,breitbart.com,37,7.2469677925,claim
818479,U.S. Military to Strengthen Campaign in Afghanistan with Drones Troops,2018-01-13T18:16:05.000Z,http://www.breitbart.com/national-security/2018/01/13/u-s-military-strengthen-campaign-afghanistan-drones-troops/amp/,breitbart.com,37,6.3708319664,claim
818906,Arab Newspaper: Palestinian Authority In Contact with Trump Administration Despite Vows to Cut Ties,2018-01-14T13:37:23.000Z,http://www.breitbart.com/jerusalem/2018/01/14/arab-newspaper-palestinian-authority-contact-trump-administration-despite-vows-cut-ties/amp/?__twitter_impression=true,breitbart.com,32,7.3542952538,claim
825956,Popular College Textbook Complains About Lack of 'Trisexual' Characters on TV,2018-01-19T21:11:42.000Z,http://www.breitbart.com/tech/2018/01/19/popular-textbook-complains-about-lack-of-trisexual-characters-on-tv/amp/,breitbart.com,31,6.8574929237,claim
826108,GOP Narrows 'Generic Ballot' Deficit Amid Tax Cuts - Breitbart,2018-01-20T03:52:21.000Z,http://www.breitbart.com/2018-elections/2018/01/19/gop-narrows-generic-ballot-deficit-amid-tax-cuts/,breitbart.com,31,107.5846557617,claim
827687,BLOOMBERG: German Social Democrats Back Merkel Coalition Talks in Tight Vote,2018-01-21T16:05:01.000Z,http://www.breitbart.com/london/2018/01/21/bloomberg-german-social-democrats/amp/,breitbart.com,30,8.8994560242,claim
827687,BLOOMBERG: German Social Democrats Back Merkel Coalition Talks in Tight Vote,2018-01-21T16:05:01.000Z,http://www.breitbart.com/london/2018/01/21/bloomberg-german-social-democrats/,breitbart.com,30,9.6006393433,claim
827705,Columnist: Donald Trump Has Shifted California Politics Further Left,2018-01-21T14:27:54.000Z,http://www.breitbart.com/california/2018/01/21/columnist-donald-trump-shifted-california-politics-left/,breitbart.com,30,6.3708319664,claim
826006,Breitbart News Tonight: Democrats Hold Government Funding Hostage for Amnesty,2018-01-20T00:25:16.000Z,http://www.breitbart.com/radio/2018/01/19/breitbart-news-tonight-democrats-hold-government-funding-hostage-for-amnesty/amp/,breitbart.com,24,7.1438589096,claim
827802,GOP Rebounds In Generic Ballot,2018-01-21T13:00:57.000Z,https://www.redstate.com/streiff/2018/01/21/gop-rebounds-generic-ballot/,redstate.com,24,111.4045410156,claim
825394,High-Speed Rail Cost Spikes To $89 Million Per Mile,2018-01-19T08:01:09.000Z,http://www.breitbart.com/california/2018/01/19/high-speed-rail-cost-spikes-to-89-million-per-mile/,breitbart.com,20,6.8574929237,claim
826011,Listen: Rapper Kodak Black Arrested While Live Streaming on Instagram,2018-01-19T20:06:25.000Z,http://www.breitbart.com/big-hollywood/2018/01/19/listen-rapper-kodak-black-arrested-livestreaming-instagram/amp/,breitbart.com,18,6.8574929237,claim
825053,YouTube Deleting 'Tide Pod Challenge' Videos for Encouraging Dangerous Behavior in Teens,2018-01-18T18:43:09.000Z,http://www.breitbart.com/tech/2018/01/18/youtube-deleting-tide-pod-challenge-videos-for-encouraging-dangerous-behavior-in-teens/amp/,breitbart.com,17,7.3542952538,claim
825905,Mike 'The Situation' Sorrentino Faces Up to 5 Years in Prison for Tax Evasion,2018-01-19T22:48:04.000Z,http://www.breitbart.com/big-government/2018/01/19/mike-situation-sorrentino-faces-5-years-prison-tax-evasion/amp/,breitbart.com,16,6.3708319664,claim
820647,German Centre-Left Party Battles Over New Merkel Coalition,2018-01-15T18:08:10.000Z,http://www.breitbart.com/london/2018/01/15/german-centre-left-party-battles-new-merkel-coalition/,breitbart.com,14,6.8574929237,claim
